date	close	comment	color
24-Apr-07-08-00	60	"Ate a meal"	#f8b71a
24-Apr-07-09-00	78	"Talked to my father."	#e57512
24-Apr-07-10-00	62	"Had lunch"	#f8b71a
24-Apr-07-11-00	50	"Went to meditation room"	#ffefb9
24-Apr-07-12-00	80	"Got a call from my partner about family plans."	#e57512
24-Apr-07-13-00	83.84	"Ended phone call with partner."	#e53512
24-Apr-07-14-00	88.84	"Office mate asked me if I was okay."	#e53512
24-Apr-07-15-00	81.84	"Forgot to prepare presentation"	#e57512
24-Apr-07-16-00	70.84	"Got out of work early"	#ff8b03
24-Apr-07-17-00	40.84	"Went home to relax."	#ffefb9
24-Apr-07-18-00	78.84	"Partner contacted me again about meeting their parents."	#e57512
24-Apr-07-19-00	60.84	"Did some online shopping."	#f8b71a
24-Apr-07-20-00	63.84	"Deciding to go to bed early"	#f8b71a
